路線ID,駅ID,駅ナンバリング
0,0,JK 47
0,1,JK 46
0,2,JK 45
0,3,JK 44
0,4,JK 43
0,5,JK 42
0,6,JK 41
0,7,JK 40
0,8,JK 39
0,9,JK 38
0,10,JK 37
0,11,JK 36
0,12,JK 35
0,13,JK 34
0,14,JK 33
0,15,JK 32
0,16,JK 31
0,17,JK 30
0,18,JK 29
0,19,JK 28
0,20,JK 27
0,21,JK 26
0,22,JK 25
0,23,JK 24
0,24,JK 23
0,25,JK 22
0,26,JK 21
0,27,JK 20
0,28,JK 19
0,29,JK 18
0,30,JK 17
0,31,JK 16
0,32,JK 15
0,33,JK 14
0,34,JK 13
0,35,JK 12
0,36,JK 11
0,37,JK 10
0,38,JK 09
0,39,JK 08
0,40,JK 07
0,41,JK 06
0,42,JK 05
0,43,JK 04
0,44,JK 03
0,45,JK 02
0,46,JK 01
1,21,JY 01
1,20,JY 02
1,19,JY 03
1,18,JY 04
1,17,JY 05
1,16,JY 06
1,15,JY 07
1,14,JY 08
1,13,JY 09
1,47,JY 10
1,48,JY 11
1,49,JY 12
1,50,JY 13
1,51,JY 14
1,52,JY 15
1,53,JY 16
1,54,JY 17
1,55,JY 18
1,56,JY 19
1,57,JY 20
1,58,JY 21
1,59,JY 22
1,60,JY 23
1,61,JY 24
1,27,JY 25
1,26,JY 26
1,25,JY 27
1,24,JY 28
1,23,JY 29
1,22,JY 30
1,21,JY 01
